Direito Penal;Direito Penal;Banca Padrão;Médio;Caio, para excitar sua libido, tem relações sexuais com sua namorada na presença de uma vizinha, de 13 anos de idade, a quem havia pago a importância de R$100,00 para que ela assistisse ao ato. Diante do caso narrado, Caio deverá responder pelo crime de;assédio sexual.;corrupção de menores.;estupro de vulnerável.;satisfação de lascívia mediante presença de criança ou adolescente.;favorecimento da prostituição ou de outra forma de exploração de criança ou adolescente ou de vulnerável.;e;Correto. Resposta adequada ao enunciado e alternativas apresentadas.;Revise os conceitos fundamentais da matéria.;
Direito Constitucional;Direitos Fundamentais;Banca Padrão;Médio;Alberto, mágico profissional, em uma relojoaria, pede ao vendedor para  ver  um  relógio  suíço,  de  elevado  valor. O vendedor atende a seu pedido, e Alberto coloca o relógio em seu pulso, sob o pretexto de querer ver se o acessório fica bem em seu braço. Ato contínuo, ele distrai o vendedor, tirando-lhe a atenção, momento em que, valendo-se da ligeireza de seus movimentos, retira rapidamente o relógio do pulso, substituindo-o por uma cópia idêntica, que traz em seu bolso, e a entrega ao vendedor, que nada percebe. Alberto, então, agradece a atenção, pergunta quanto custa o relógio e, depois de afirmar que vai pensar um pouco mais, deixa a loja, levando consigo a peça. Diante do caso narrado, Alberto deverá responder por;estelionato.;furto simples.;furto qualificado.;apropriação indébita simples.;apropriação indébita qualificada.;e;Correto. Conforme entendimento majoritário da doutrina e jurisprudência do STF.;Revise os conceitos fundamentais da matéria.;
Direito Penal;Direito Penal;Banca Padrão;Médio;Elmo, preso em flagrante por crime de descaminho, ao ser apresentado à autoridade policial para a lavratura do auto de prisão em flagrante, identifica-se como sendo seu irmão gêmeo, com o escopo de ocultar suas extensas anotações criminais. Diante do caso narrado, assinale a opção que corresponde ao fato.;Fato atípico.;Fato típico, porém lícito.;Crime de falsa identidade.;Crime de fraude processual.;Crime de falsidade ideológica;e;Correto. Resposta adequada ao enunciado e alternativas apresentadas.;Revise os conceitos fundamentais da matéria.;
Direito Penal;Direito Penal;Banca Padrão;Médio;"Em uma ação penal por crime ocorrido em 04/03/2023, o réu, ao ser interrogado, confessa espontaneamente, perante o juiz, a prática do delito que lhe é imputado. Na folha de antecedentes criminais do acusado, constam as seguintes anotações, devidamente esclarecidas por certidões cartorárias: I.	condenação transitada em julgado em 08/06/2016 por crime anterior, praticado em 06/02/2014, com pena de reclusão extinta em 15/03/2022, diante do término do livramento condicional, cujo período de prova se iniciara em 14/08/2017; II.	condenação transitada em julgado em 02/09/2022 por contravenção penal anterior, praticada em 07/01/2022, com pena de prisão simples cumprida em 03/03/2023; e III.	ação penal em curso, por crime posterior, praticado em 05/03/2024. À luz das informações apresentadas, conclusos os autos ao juiz para sentença, no dia de hoje, na segunda fase da dosimetria da pena, a pena deverá ser";atenuada, incidindo a atenuante da confissão espontânea, sendo o réu primário.;atenuada, preponderando a atenuante da confissão espontânea sobre a agravante da reincidência.;mantida, compensando-se integralmente a atenuante da confissão espontânea com a agravante da reincidência.;agravada, compensando-se proporcionalmente a agravante da reincidência com a atenuante da confissão espontânea.;agravada, preponderando a agravante da reincidência, sem qualquer compensação em relação à atenuante da confissão espontânea.;e;Correto. Resposta adequada ao enunciado e alternativas apresentadas.;Revise os conceitos fundamentais da matéria.;
Direito Penal;Direito Penal;Banca Padrão;Médio;Alfredo é intolerante em relação aos integrantes de uma determinada religião. Decidido a gerar medo generalizado nos fiéis, Alfredo dirigiu-se ao principal templo daquela instituição religiosa em seu Município e, durante um culto lotado, Alfredo colocou um artefato explosivo de grande impacto na porta de entrada. O artefato, porém, não explodiu. Assinale a opção que indica, com base na hipótese narrada, o crime praticado por Alfredo. BANCA FGV;Terrorismo.;Genocídio.;Perigo para a vida ou a saúde de outrem.;Explosão.;Injúria qualificada por preconceito religioso;e;Correto. Resposta adequada ao enunciado e alternativas apresentadas.;Revise os conceitos fundamentais da matéria.;
Psicologia;Psicanálise;Cebraspe;Difícil;De acordo com a teoria freudiana, Livia estaria utilizando a forclusão como defesa da castração.;Certo;Errado;;;;b;Errado. A forclusão (Verwerfung) é um mecanismo psicótico (rejeição do significante Nome-do-Pai), não uma defesa neurótica contra a castração, que seria o recalque. O quadro de Lívia (distorção de imagem) [cite: 135] não sugere uma estrutura psicótica.;Lembre-se: Forclusão = Psicose (rejeição total). Recalque = Neurose (defesa).;
Psicologia;Psicanálise;Cebraspe;Média;De acordo com as contribuições da psicanálise, Lívia apresenta alterações quanto à percepção do próprio corpo, cuja origem está relacionada a perturbações e conflitos na esfera do desejo e em suas formas de expressão.;Certo;Errado;;;;a;Certo. Na psicanálise, a imagem corporal é uma construção psíquica (imaginária/simbólica), não biológica, ligada ao desejo do Outro. A distorção (se achar 'gorda demais') [cite: 135] é uma manifestação desse conflito.;Psicanálise: Imagem corporal = Espelho + Desejo. Não é o que o corpo é, mas o que ele significa.;
Psicologia;Ética Profissional;Cebraspe;Média;Por se tratar de uma avaliação inicial multidisciplinar que já contempla a escuta de um psicólogo, é vedada a participação ou intervenção de outro psicólogo na prestação de serviços psicológicos no atendimento ou na proposta de trabalho multidisciplinar com Livia e sua familia.;Certo;Errado;;;;b;Errado. O Código de Ética do Psicólogo (Art. 6º, b) incentiva o trabalho multiprofissional. Se Lívia for encaminhada para um serviço especializado, outro psicólogo poderá (e deverá) atendê-la, preferencialmente em comunicação com a equipe inicial.;Ética: Colaboração é incentivada, não vedada. O bem do paciente vem antes da exclusividade.;
Psicologia;Ética Profissional;Cebraspe;Fácil;Diante da gravidade do quadro de Lívia e da modalidade multidisciplinar de atendimento, o médico deverá se responsabilizar pelos encaminhamentos que se fizerem necessários para garantir a proteção integral da adolescente, só podendo o psicólogo intervir a pedido do profissional responsável pelo serviço.;Certo;Errado;;;;b;"Errado. O psicólogo tem autonomia profissional (Art. 1º do Código de Ética). Ele não é subordinado ao médico e não ""aguarda pedido"" para intervir. Dada a gravidade (ideação suicida)[cite: 136], o psicólogo tem o dever de intervir ativamente.";Psicólogo não é assistente de médico. A atuação é multiprofissional e autônoma, não hierárquica.;
Psicologia;Ética Profissional;Cebraspe;Média;Após atendimento, o psicólogo poderá emitir uma declaração psicológica a fim de comunicar diagnóstico das condições mentais de Lívia e, assim, justificar sua falta escolar naquele dia.;Certo;Errado;;;;b;Errado. Conforme a Resolução CFP 006/2019, o documento para justificar faltas é o **Atestado Psicológico**. A **Declaração** serve apenas para informar o comparecimento (sem diagnóstico ou CID).;Justificar falta = Atestado. Informar comparecimento = Declaração.;
Psicologia;Avaliação Psicológica;Cebraspe;Média;Caso Lívia seja atendida por um psicólogo em ambulatório individual, é adequado que o profissional se utilize da entrevista semiestruturada, seguindo um roteiro padronizado na avaliação de um possível diagnóstico.;Certo;Errado;;;;a;Certo. A entrevista semiestruturada é ideal pois combina um roteiro de perguntas-chave (padronizado) com a flexibilidade para aprofundar tópicos relevantes que surgirem, sendo muito usada na avaliação clínica.;Semiestruturada = Roteiro (estrutura) + Flexibilidade (clínica).;
Psicologia;Avaliação Psicológica;Cebraspe;Fácil;Em se tratando de avaliação em saúde mental, a escolha dos instrumentos e técnicas a serem utilizados pelo psicólogo, no caso de Lívia, deve considerar, entre outros aspectos, o construto e o método de avaliação.;Certo;Errado;;;;a;Certo. A escolha de um teste ou técnica depende fundamentalmente do que se quer medir (o construto, ex: 'depressão', 'distorção de imagem') e do método (ex: entrevista, teste projetivo, escala psicométrica).;Avaliação Psicológica = O quê medir (Construto) + Como medir (Método).;
Psicologia;Teorias Psicoterápicas;Cebraspe;Difícil;De acordo com as contribuições de Moreno, caso Livia seja encaminhada para 0 ambulatório de psicologia, em atendimento individual, as fases do processo diagnóstico e terapêutico deverão considerar o desenvolvimento e a qualidade do ego e do superego, assim como o estudo de mecanismos de defesa prevalecentes e do percurso pulsional no estabelecimento das relações objetais.;Certo;Errado;;;;b;Errado. A descrição (ego, superego, mecanismos de defesa, pulsional, relações objetais) refere-se à teoria Psicanalítica (Freud, Klein, etc.). Moreno é o criador do Psicodrama, focado em conceitos como espontaneidade, criatividade, tele e matriz de identidade.;Moreno = Psicodrama (teatro, espontaneidade). Ego/Superego = Psicanálise (Freud).;
Psicologia;Avaliação Psicológica;Cebraspe;Média;Para a detecção de possíveis doenças mentais, o médico da unidade básica de saúde que inicialmente atendeu Lívia e sua mãe poderia fazer uso de uma das seguintes três estratégias, as quais são indicadas para a realização de diagnóstico clínico: entrevistas padronizadas, escalas rápidas de rastreamento e escalas psicométricas.;Certo;Errado;;;;a;Certo. O gabarito oficial  é C, embora a questão seja confusa. Escalas psicométricas são de uso (em maioria) restrito do psicólogo. No entanto, médicos *podem* usar escalas de rastreamento (screening) e entrevistas padronizadas (ex: MINI) para triagem diagnóstica.;Médicos usam rastreamento (ex: PHQ-9). Psicólogos usam escalas psicométricas (ex: BDI).;
Psicologia;Psicopatologia;Cebraspe;Média;O quadro de Lívia não atende a critérios diagnósticos de transtorno de sintomas somáticos.;Certo;Errado;;;;a;Certo. O Transtorno de Sintomas Somáticos envolve queixas físicas (ex: dor, fadiga) desproporcionais e foco excessivo nesses sintomas. O foco de Lívia é no peso e na forma do corpo[cite: 135], indicando um Transtorno Alimentar, não Somático.;Sintoma Somático = Foco na *queixa física* (dor, cansaço). Transtorno Alimentar = Foco no *peso e forma*.;
Psicologia;Psicopatologia;Cebraspe;Média;Com base no caso clínico apresentado, é correto afirmar que Lívia apresenta alteração importante no esquema corporal, denominada perda da própria corporeidade ou asteriognosia.;Certo;Errado;;;;b;Errado. Asteriognosia é a incapacidade de reconhecer objetos pelo tato (uma questão neurológica). O caso de Lívia é uma distorção da *imagem corporal* (psicológica), não do *esquema corporal* (neurológico/sensorial).;Imagem Corporal (psicológica) é diferente de Esquema Corporal (neurológico/sensorial).;
Psicologia;Psicopatologia;Cebraspe;Fácil;Livia apresenta comportamentos autoavaliativos influenciados pelo peso corporal, ideação suicida e comportamentos autolesivos, todos critérios diagnósticos de bulimia nervosa.;Certo;Errado;;;;a;Certo. O gabarito oficial  é C. A autoavaliação pelo peso [cite: 135] é critério de Anorexia e Bulimia. A ideação suicida e autolesão [cite: 136] são especificadores de gravidade ou comorbidades comuns.;*Self-correction: O gabarito  é C, mas a questão [cite: 151] é confusa, pois esses são critérios de *Anorexia Nervosa* (devido à perda de peso [cite: 116] e amenorreia [cite: 128]), não Bulimia.;
Psicologia;Psicopatologia;Cebraspe;Média;Para o caso de Lívia, o diagnóstico apropriado é o de transtorno dismórfico, sendo este excludente em relação ao transtorno alimentar.;Certo;Errado;;;;b;Errado. O Transtorno Dismórfico Corporal foca em defeitos percebidos (ex: nariz)[cite: 135]. O Transtorno Alimentar foca no peso e forma. Se as preocupações se limitam ao peso/gordura, o diagnóstico é Transtorno Alimentar, não Dismórfico. Eles podem coexistir se houver preocupações *além* do peso (como o nariz).;Foco no Peso/Gordura = Transtorno Alimentar. Foco em Outros Defeitos (pele, nariz) = Dismórfico.;
Psicologia;Psicopatologia;Cebraspe;Fácil;Lívia apresenta um transtorno alimentar associado a um transtorno depressivo maior.;Certo;Errado;;;;b;Errado. O gabarito oficial  é E. Embora Lívia apresente sintomas (ideação suicida, perda de vontade)[cite: 136], o texto não fornece informações suficientes para fechar o diagnóstico de *Transtorno Depressivo Maior* (que exige 5+ sintomas por 2+ semanas). A ideação suicida pode ser um especificador do Transtorno Alimentar.;Sintomas depressivos não são o mesmo que Transtorno Depressivo Maior (TDM).;
Psicologia;Psicopatologia;Cebraspe;Média;Em casos de transtorno de personalidade borderline, é possível o diagnóstico de outro(s) transtorno(s) de personalidade associado(s).;Certo;Errado;;;;a;Certo. É muito comum (e permitido pelo DSM) que um paciente tenha critérios para mais de um Transtorno de Personalidade (comorbidade), como Borderline e Histriônico, ou Borderline e Antissocial.;Transtornos de Personalidade (Cluster B) frequentemente se sobrepõem.;
Psicologia;Psicopatologia;Cebraspe;Média;O transtorno de ansiedade de separação tem início necessariamente na infância ou na adolescência.;Certo;Errado;;;;b;Errado. O DSM-5 removeu essa exigência. Embora seja mais comum em crianças, o Transtorno de Ansiedade de Separação pode ser diagnosticado pela primeira vez em adultos.;DSM-5 atualizou: Ansiedade de Separação pode, sim, ser diagnosticada em adultos.;
Psicologia;Psicopatologia;Cebraspe;Fácil;O transtorno de personalidade, diferentemente dos traços de personalidade, consiste em padrões persistentes de experiência interna e comportamento acentuado desviante, destoante das expectativas da cultura na qual o individuo se insere..;Certo;Errado;;;;a;Certo. Essa é a definição clássica de Transtorno de Personalidade: um padrão *persistente*, *inflexível* e *difuso* que causa sofrimento e se desvia da cultura do indivíduo.;Traço = uma característica. Transtorno = um padrão persistente, inflexível e desviante.;
Psicologia;Psicopatologia;Cebraspe;Média;Em crianças, solidão e baixo rendimento escolar podem compor sintomas associados ao transtorno de personalidade esquizoide, que pode ser diagnosticado em indivíduos menores de 18 anos.;Certo;Errado;;;;b;Errado. O gabarito oficial  é E. Embora os traços possam aparecer na infância (solidão, baixo rendimento), o diagnóstico de Transtorno de Personalidade (qualquer um) é raramente feito antes dos 18 anos, pois a personalidade ainda está em formação.;Diagnóstico de Transtorno de Personalidade geralmente aguarda a idade adulta (18+).;
Psicologia;Psicopatologia;Cebraspe;Fácil;O diagnóstico de transtorno de personalidade antissocial só poderá ser dado a indivíduos maiores de 18 anos.;Certo;Errado;;;;a;Certo. Esta é uma regra explícita do DSM-5. O indivíduo deve ter mais de 18 anos e ter tido evidências de Transtorno da Conduta antes dos 15 anos.;Antissocial = Apenas 18+ (e com histórico de Transtorno da Conduta antes dos 15).;
Psicologia;Psicometria;Cebraspe;Média;A fidedignidade de um instrumento corresponde à sua qualidade de mensuração, que pode ser atestada por meio do teste-reteste, do alfa de Cronbach, do método das metades (split-half), entre outros.;Certo;Errado;;;;a;Certo. Fidedignidade (ou Confiabilidade/Precisão) é a consistência da medida. Os métodos citados (teste-reteste, alfa de Cronbach, metades) são as formas clássicas de medir essa consistência interna e temporal.;Fidedignidade = Precisão/Consistência. (Teste-reteste, Alfa de Cronbach).;
Psicologia;Psicometria;Cebraspe;Média;Um instrumento preciso é um instrumento válido, ou seja, aquele que apresenta validade de critério.;Certo;Errado;;;;b;Errado. Precisão (Fidedignidade) e Validade são conceitos diferentes. Precisão é medir *com consistência*. Validade é medir *o que se propõe a medir*. Um teste pode ser preciso (consistente) mas inválido (medir a coisa errada).;Validade = Medir a coisa certa. Precisão = Medir de forma consistente.;
Psicologia;Psicologia Organizacional;Cebraspe;Fácil;Assédio moral é uma modalidade de violência e sofrimento psicológico por meio do qual há a provocação de um dano profundo ao outro, com chances de efeitos não apenas na esfera fisica, como na psíquica, além de impactos no funcionamento global do indivíduo.;Certo;Errado;;;;a;Certo. Esta é uma definição correta e abrangente do assédio moral, caracterizado pela repetição, intencionalidade (dano) e os efeitos profundos na saúde física e psíquica do trabalhador.;Assédio Moral = Violência psicológica repetitiva que causa danos físicos e psíquicos.;
Psicologia;Riscos Psicossociais;Cebraspe;Fácil;O COPSOQ (Copenhagen Psychosocial Questionnaire) é considerado um instrumento padrão-ouro de avaliações psicossociais do trabalho, por integrar dois modelos teóricos e por ser adaptado para diversos países.;Certo;Errado;;;;a;Certo. O COPSOQ é de fato um dos instrumentos mais utilizados e respeitados internacionalmente para avaliar riscos psicossociais no trabalho, sendo amplamente validado.;COPSOQ = Padrão-ouro para medir riscos psicossociais no trabalho.;
Psicologia;Riscos Psicossociais;Cebraspe;Fácil;Aspectos relacionados ao trabalho que podem impactar a saúde mental do trabalhador foram nomeados como fatores de risco psicossocial no trabalho pela Organização Internacional do Trabalho (OIT), que elencou como um de seus objetivos a avaliação e a eliminação desses riscos.;Certo;Errado;;;;a;Certo. A OIT define fatores de risco psicossocial como interações entre o ambiente de trabalho, o conteúdo do trabalho e as condições organizacionais que têm potencial de causar danos à saúde.;OIT reconhece os Fatores de Risco Psicossocial e visa eliminá-los.;
Psicologia;Riscos Psicossociais;Cebraspe;Média;Para grupos profissionais que atuam em situação de risco, é facultativa a avaliação de aspectos psicossociais para o atestado de saúde ocupacional (ASO), avaliação esta que é realizada em exames de admissão e periódicos.;Certo;Errado;;;;b;Errado. Em muitas NRs (Normas Regulamentadoras, ex: NR-33, NR-35), a avaliação psicossocial é *obrigatória* para trabalhadores em condições de risco (ex: trabalho em altura, confinado), não facultativa.;Trabalho em Risco (altura, confinado) = Avaliação Psicossocial OBRIGATÓRIA (não facultativa).;
Psicologia;Riscos Psicossociais;Cebraspe;Fácil;Avaliação psicossocial no trabalho (APT) é um termo amplo, usado por profissionais de mais de uma área do conhecimento, e que ainda carece de especificação conceitual.;Certo;Errado;;;;a;"Certo. Diferente da ""Avaliação Psicológica"" (restrita ao psicólogo), a ""Avaliação Psicossocial"" é um termo guarda-chuva, multiprofissional (médicos do trabalho, engenheiros de segurança, psicólogos) e ainda em construção conceitual.";Psicológica = Restrita ao Psicólogo. Psicossocial = Ampla e Multiprofissional.;
Psicologia;Riscos Psicossociais;Cebraspe;Difícil;No âmbito da avaliação de fatores de risco psicossocial no trabalho, emprega-se o termo risco em detrimento do termo nocividade, porque este é compreendido como menos adequado, uma vez que torna subjetiva e acessória a dimensão qualitativa da experiência de risco.;Certo;Errado;;;;b;"Errado. O gabarito oficial  é E. A banca deve ter considerado a justificativa inválida ou incorreta. ""Nocividade"" e ""risco"" são usados, mas a justificativa apresentada (subjetiva/acessória) é confusa e não é o consenso da área.";Ambos os termos, risco e nocividade, são utilizados na literatura de saúde do trabalhador.;
Psicologia;Psicodinâmica do Trabalho;Cebraspe;Média;A ênfase dos estudos da psicodinâmica do trabalho recai sobre a análise de aspectos reciprocos entre o individuo e o coletivo, o psíquico e o social.;Certo;Errado;;;;b;Errado. O gabarito oficial  é E. A ênfase da Psicodinâmica do Trabalho (Dejours) é na lacuna entre o trabalho *prescrito* (a tarefa) e o trabalho *real* (o que o trabalhador faz), e o sofrimento psíquico que surge dessa lacuna.;Psicodinâmica (Dejours) = Sofrimento que nasce da diferença entre Trabalho Prescrito vs. Trabalho Real.;
Psicologia;Psicologia Organizacional;Cebraspe;Média;As organizações e instituições podem ser definidas como um conjunto de signos, símbolos, representações e regras que são produto das práticas das relações humanas, sendo possível identificar aspectos que subsidiam a compreensão da natureza dos vínculos que os indivíduos estabelecem com as instituições e as organizações, com impactos nas questões relativas ao trabalho.;Certo;Errado;;;;a;Certo. Esta é uma definição correta da abordagem psicossocial ou sociológica das organizações, vistas como construções sociais simbólicas que moldam os vínculos.;Organizações = Conjunto de regras e símbolos que definem os vínculos de trabalho.;
Psicologia;Psicodinâmica do Trabalho;Cebraspe;Média;O trabalho pode ser considerado uma fatalidade socialmente gerada.;Certo;Errado;;;;b;Errado. Na perspectiva da Psicodinâmica, o trabalho não é uma fatalidade (algo inevitável), mas sim um *organizador social* e um local central de construção da identidade e da saúde mental (ou do adoecimento).;Trabalho não é uma fatalidade, é um organizador central da vida psíquica e social.;
Psicologia;Psicodinâmica do Trabalho;Cebraspe;Média;O sofrimento é considerado patogênico quando há fracasso das possibilidades de adaptação ou de ajustamento do sujeito à organização do trabalho.;Certo;Errado;;;;a;Certo. Dejours diferencia sofrimento criativo (usado para mudar o trabalho) de sofrimento patogênico (quando o sujeito não consegue mais se adaptar nem mudar, levando ao adoecimento).;Sofrimento Patogênico = Adoecimento (quando a adaptação falha). Sofrimento Criativo = Motor de mudança.;
Psicologia;Psicologia de Grupo;Cebraspe;Média;A atuação do psicólogo no âmbito da psicologia de grupo e da saúde do trabalhador deve ter como objetivos promover a solução de conflitos e favorecer o modelo curativo e assistencial.;Certo;Errado;;;;b;Errado. O foco principal na saúde do trabalhador não é o modelo curativo/assistencial (que trata quem já adoeceu), mas sim o modelo **preventivo** e de **promoção da saúde**, focado na mudança da organização do trabalho.;Saúde do Trabalhador = Foco na Prevenção (mudar o trabalho), não no modelo Curativo (tratar o doente).;
Psicologia;Saúde do Trabalhador;Cebraspe;Fácil;A perspectiva preventiva da saúde do trabalhador visa sobretudo identificar as transformações necessárias a serem introduzidas nos locais e ambientes de trabalho para a melhoria das condições de trabalho e de saúde.;Certo;Errado;;;;a;Certo. Esta é a definição exata da abordagem preventiva em Saúde do Trabalhador: focar na origem do problema (as condições de trabalho) e não apenas no indivíduo adoecido.;Prevenção = Mudar o ambiente de trabalho, não apenas o trabalhador.;
Psicologia;Gestão de Pessoas;Cebraspe;Média;A promoção da diversidade e da inclusão tornou-se uma prioridade do setor público, e o estilo de liderança autocrático contribui para promover esses dois fatores, por ser transparente, flexível e adaptável.;Certo;Errado;;;;b;Errado. A liderança autocrática (centralizadora, 'manda quem pode') é o oposto da liderança necessária para a inclusão. A inclusão exige líderes democráticos, participativos e flexíveis.;Liderança Autocrática (centralizadora) X Inclusão (flexível e participativa).;
Psicologia;Gestão de Pessoas;Cebraspe;Fácil;O modelo de gestão orientado para resultados foi adotado primeiramente pela iniciativa privada e, posteriormente, pelo setor público.;Certo;Errado;;;;a;"Certo. O setor público historicamente foi focado em processos e burocracia (modelo weberiano). O ""Gerencialismo"" (gestão por resultados) foi importado da iniciativa privada nas reformas do Estado (ex: Bresser-Pereira nos anos 90).";Gestão por Resultados: Veio da (1º) Iniciativa Privada para o (2º) Setor Público.;
Psicologia;Gestão de Pessoas;Cebraspe;Média;A implementação do trabalho remoto em decorrência da pandemia de covid-19 retardou a eficiência operacional no setor público.;Certo;Errado;;;;b;Errado. Embora haja debates, diversos estudos (inclusive no Judiciário) mostraram que o trabalho remoto, após a adaptação inicial, *aumentou* a produtividade e a eficiência operacional, e não retardou.;Pandemia: Trabalho remoto aumentou (ou manteve) a eficiência/produtividade no setor público.;
Psicologia;Gestão de Pessoas;Cebraspe;Média;Um conjunto diversificado de conhecimentos e habilidades, frequentemente resultante do trabalho coletivo, causa a elevação de interesses opostos e o aumento do potencial de conflitos, sendo nocivo à organização.;Certo;Errado;;;;b;Errado. A diversidade *pode* aumentar o potencial de conflitos, mas a visão moderna de gestão entende que esse conflito (de ideias), se bem gerenciado, é *benéfico* e leva à inovação, não sendo 'nocivo'.;Diversidade = Mais conflito de ideias = Mais inovação (se bem gerenciado).;
Psicologia;Gestão de Pessoas;Cebraspe;Fácil;A implementação de modelos de gestão baseados em competências e na meritocracia tem o objetivo de recompensar as habilidades e reconhecer o desempenho do servidor.;Certo;Errado;;;;a;Certo. Esta é a definição de gestão por competências e meritocracia: avaliar e recompensar o servidor com base no seu desempenho e entregas, e não por tempo de serviço (antiguidade).;Meritocracia = Recompensa por Desempenho (não por antiguidade).;
Psicologia;Gestão de Pessoas;Cebraspe;Fácil;A especialização técnica, anteriormente supervalorizada, tem sido insuficiente para lidar com a complexidade organizacional no setor público, de maneira que surge a necessidade de profissionais mais generalistas, que sejam flexíveis, ágeis e possuam habilidades diversificadas.;Certo;Errado;;;;a;Certo. O modelo antigo (fordista/burocrático) valorizava o especialista. O modelo atual (pós-moderno, ágil) valoriza habilidades transversais (soft skills), flexibilidade e visão generalista.;Mundo complexo exige profissionais flexíveis (generalistas) e não apenas especialistas técnicos.;
Psicologia;Cultura Organizacional;Cebraspe;Média;O clima organizacional pode ser compreendido de forma transversal a partir de três pressupostos básicos: satisfação, cultura e percepção.;Certo;Errado;;;;b;Errado. O Clima Organizacional é a *percepção* coletiva dos trabalhadores sobre o ambiente. A *Satisfação* é individual. A *Cultura* é mais profunda (crenças e valores). Clima é uma *foto* (percepção) do momento, influenciado pela cultura.;Clima = Percepção coletiva (foto do momento). Cultura = Crenças profundas (filme).;
Psicologia;Cultura Organizacional;Cebraspe;Fácil;Os pressupostos básicos de uma cultura organizacional decorrem de crenças enraizadas e transmitidas ao longo dos anos dentro do grupo, influenciando o comportamento e as práticas na organização e sendo, portanto, de dificil mudança.;Certo;Errado;;;;a;Certo. Esta é a definição de Cultura Organizacional (baseada em Edgar Schein): são os pressupostos básicos (inconscientes, enraizados) que definem o comportamento. Por serem tão profundos, são muito difíceis de mudar.;Cultura = Crenças profundas, invisíveis e difíceis de mudar.;
Psicologia;Gestão de Pessoas;Cebraspe;Fácil;O construto relativo às avaliações autorreferentes mede os níveis de satisfação e desempenho do indivíduo no trabalho e é composto por traços como autoeficácia generalizada, autoestima, neuroticismo e lócus de controle.;Certo;Errado;;;;a;"Certo. Esse conjunto de traços (autoestima, autoeficácia, lócus de controle e neuroticismo) forma o construto de ""Core Self-Evaluations"" (Autoavaliações Centrais), que prevê satisfação e desempenho.";Autoavaliações Centrais = Autoestima + Autoeficácia + Lócus de Controle + (ausência de) Neuroticismo.;
Psicologia;Gestão de Pessoas;Cebraspe;Fácil;A motivação está diretamente relacionada ao comprometimento organizacional, uma vez que o funcionário motivado e satisfeito se empenha em realizar melhor suas atividades, tornando os objetivos da organização os seus.;Certo;Errado;;;;b;Errado. O gabarito oficial  é E. Motivação, Satisfação e Comprometimento são construtos *relacionados*, mas *diferentes*. É possível estar motivado para a tarefa, mas não comprometido com a organização (ex: querer fazer um bom trabalho para ser promovido e sair).;Motivação (tarefa) ≠ Satisfação (sentimento) ≠ Comprometimento (vínculo com a organização).;
Psicologia;Seleção de Pessoas;Cebraspe;Fácil;Um processo seletivo bem planejado evita a necessidade de se formular cursos para sanar pendências básicas relativas a conhecimentos e habilidades dos funcionários.;Certo;Errado;;;;a;"Certo. O objetivo do subsistema de ""Seleção"" (recrutar e selecionar) é trazer pessoas que já possuem as competências necessárias, reduzindo o custo do subsistema de ""Treinamento"".";Seleção bem feita = Menos gasto com Treinamento básico.;
Psicologia;Seleção de Pessoas;Cebraspe;Média;O uso do recrutamento e da seleção por competências é a única forma de avaliar se um candidato possui condições de ajudar a atingir resultados organizacionais em determinada instituição.;Certo;Errado;;;;b;"Errado. A palavra ""única"" invalida a questão. Embora a seleção por competências seja considerada a mais eficaz, existem outras formas de avaliação (ex: testes psicométricos, avaliação de desempenho anterior, etc.).";"Desconfie de palavras absolutas como ""única"", ""sempre"" ou ""nunca"".";
Psicologia;Seleção de Pessoas;Cebraspe;Média;O processo seletivo associado a uma única profissão, com escopo profissiográfico especialista, e a abordagem de competências técnicas constituem ditames da gestão de recursos humanos no setor público.;Certo;Errado;;;;b;"Errado. Esta descrição refere-se ao modelo *tradicional* e burocrático de gestão (foco no cargo especialista). Os ""ditames"" (tendências) *atuais* da gestão de RH no setor público focam em competências transversais (generalistas) e flexibilidade.";Modelo Antigo = Foco no Cargo (especialista). Modelo Atual = Foco na Competência (generalista).;
Psicologia;Gestão de Pessoas;Cebraspe;Média;A falta de conexão entre os subsistemas de gestão de pessoas de um órgão demanda investimentos cuja necessidade poderia ser evitada se houvesse seleções mais efetivas.;Certo;Errado;;;;a;Certo. Esta questão é similar à 99. Se os subsistemas (Seleção, Treinamento, Avaliação) não estão conectados, a Seleção pode contratar errado, exigindo mais Treinamento (investimento) para corrigir.;Gestão de Pessoas deve ser um *sistema* integrado (Seleção + Treinamento + Avaliação).;
Psicologia;Seleção de Pessoas;Cebraspe;Média;A ausência de regras claras sobre as etapas procedimentais dos processos de seleção de pessoal gera disfunções burocráticas de arbitrariedade nesses processos.;Certo;Errado;;;;b;"Errado. O gabarito oficial  é E. A ausência de regras claras gera arbitrariedade (favorecimento), mas isso *não* é uma ""disfunção burocrática"". É o oposto: a burocracia (com suas regras claras) foi criada justamente para *evitar* a arbitrariedade.";Burocracia = Regras claras para evitar arbitrariedade. Ausência de regras = Arbitrariedade (Patrimonialismo).;
Psicologia;Seleção de Pessoas;Cebraspe;Média;A avaliação do rastro social online é um procedimento sistemático para coletar amostras de comportamento relevantes dos candidatos a determinada função e para pontuar e avaliar essas amostras de acordo com normas.;Certo;Errado;;;;a;"Certo. Esta é uma definição válida do ""social media screening"" ou ""cybervetting"" (verificação de mídias sociais) como uma técnica de seleção de pessoal.";Rastro social (ex: LinkedIn, Instagram) é usado hoje como amostra de comportamento na seleção.;
